序號,開標日期,股票代號,CB代號,名稱,股本,發行規模,年期,擔保,信用評等,競拍張數,底標價,截標日,截標收盤,轉換價,訂價溢價率,理論價,最低得標,最低溢價,平均得標,平均溢價,發行券商,產業分類,合格件數,投標張數,投標倍數,投標均張,投標開始日,最高投(得)標數量(張),撥券日,得標總金額,得標手續費率(%),最高得標價格(元),承銷價格(元)
1,2019/3/22,4943,49431,康控一KY,15.7,15,3,無擔保,9,13500,100,2019/3/20,124.5,121.1,1.02,102.807597,100.5,-0.022445783,102.07,-0.007174538,中信證券,電子零組件業,829,19751,1.463037037,23.82509047,2019/3/18,1350,2019/4/2,1377907550,1,159,102.07
2,2019/9/2,4736,47363,泰博三,9.22,15,5,有擔保,4,12752,100,2019/8/7,126,140,1.0566,90,107.17,0.190777778,108.46,0.205111111,凱基證券,生技醫療業,1559,54356,4.262547051,34.8659397,2019/8/5,1275,2019/8/21,1394223850,0.5,140.1,109.33
3,2019/11/4,8028,80281,昇陽一,13.2,10,3,無擔保,6,8732,102,2019/10/31,76.8,76.1,1.02,100.9198423,108.45,0.074615234,109.92,0.08918125,富邦證券,半導體業,1063,31398,3.595739808,29.53715898,,,,,,,
4,2019/12/2,2729,27291,瓦城一,2.33,8,3,無擔保,5,6880,102,2019/11/28,286,300,1.0722,95.33333333,102.81,0.078426573,107.3,0.125524476,富邦證券,觀光餐旅,674,11341,1.648401163,16.8264095,,,,,,,
5,2019/12/11,6477,64771,安集一,11.4,3,5,無擔保,6,2550,100,2019/12/9,22.65,23,1.02,98.47826087,100.51,0.020631347,101.59,0.031598234,福邦證券,光電業,187,4116,1.614117647,22.01069519,2019/12/5,255,2019/12/20,259066700,0.5,109.22,101.59
6,2020/1/6,3617,36171,碩天一,8.1,12,3,無擔保,5,10200,101.5,2020/1/2,113,122,1.0961,92.62295082,104.1,0.123911504,105.23,0.136111504,宏遠證券,其他電子業,882,24587,2.410490196,27.87641723,2019/12/30,1020,2020/1/15,1073334860,0.5,141,105.23
7,2020/1/8,1436,14361,華友聯一,9.56,3,5,有擔保,8,2550,100,2020/1/6,40.95,40,1.0521,102.375,106.66,0.041855922,107.73,0.052307692,第一金證,建材營造業,372,7637,2.994901961,20.52956989,2020/1/2,255,2020/1/17,274721790,0.5,120,107.73
8,2020/1/9,3594,35943,磐儀三,7.16,3,3,無擔保,7,2550,100,2020/1/7,25.45,22.8,1.02,111.622807,101.65,-0.089343811,104.86,-0.060586248,福邦證券,電腦及週邊設備業,241,4769,1.870196078,19.78838174,2020/1/3,255,2020/1/20,267389720,0.5,115.3,104.86
9,2020/2/6,4967,49671,十銓一,7.45,5,3,有擔保,6,4250,102,2020/2/4,36.55,33.9,1.0688,107.8171091,110.7,0.026738714,112.21,0.040743912,群益證券,半導體業,444,11307,2.660470588,25.46621622,2020/1/31,425,2020/2/17,476883600,0.5,119.6,112.21
10,2020/2/18,2466,24663,冠希電三,15.6,3,3,有擔保,8,2660,102,2020/2/14,34.9,38,1.08,91.84210526,103.11,0.122687679,104.5,0.13782235,中信證券,光電業,481,5011,1.883834586,10.41787942,2020/2/12,266,2020/2/27,277980900,0.5,110,104.5
11,2020/2/19,4175,41752,杏一二,3.16,3,5,無擔保,6,2550,102,2020/2/17,72.9,77.3,1.0503,94.30789133,102.65,0.088456104,103.62,0.098741564,國泰證券,生技醫療業,190,4108,1.610980392,21.62105263,2020/2/13,255,2020/3/2,264225240,0.5,110,103.62
12,2020/2/26,2228,22282,劍麟二,7.58,3,3,無擔保,5,2550,100,2020/2/24,95.2,106.23,1.05,89.61686906,104.5,0.166075105,105.98,0.182589853,元大證券,汽車工業,416,11327,4.441960784,27.22836538,2020/2/20,255,2020/3/9,270260630,0.5,110,105.98
13,2020/4/20,6150,61504,撼訊四,4.49,4,3,無擔保,8,3550,100,2020/4/16,42.8,34.5,1.02,124.057971,102.22,-0.176030374,106.83,-0.138870327,宏遠證券,電腦及週邊設備業,221,4439,1.250422535,20.08597285,2020/4/14,355,2020/4/29,379239070,0.5,117.33,106.83
14,2020/5/11,4919,49191,新唐一,39.1,20,7,無擔保,4,5361,100,2020/5/7,39.15,39.9,1.0828,98.12030075,100,0.019157088,100.91,0.028431418,中信證券,半導體業,473,5361,1.00000,11.33403805,2020/5/5,1800,2020/5/20,540953740,0.5,110,100
15,2020/5/28,6189,61893,豐藝三,18.3,10,3,無擔保,4,3740,101,2020/5/26,34.4,34.5,1.0213,99.71014493,101,0.012936047,103.94,0.042421512,群益證券,電子通路業,192,3740,1.00000,19.47916667,2020/5/22,850,2020/6/8,388726950,0.5,498,101
16,2020/7/31,9958,99584,世紀鋼四,23.1,15,3,無擔保,5,10544,100,2020/7/29,92.8,90.88,1.02,102.1126761,100,-0.020689655,101.13,-0.009623448,群益證券,鋼鐵工業,426,10544,1.00000,24.75117371,2020/7/27,1275,2020/8/11,1066290440,0.5,110,100
17,2020/8/6,9802,98025,鈺齊五KY,18.6,5,3,無擔保,4,4250,100,2020/8/4,105,112,1.0228,93.75,105.5,0.125333333,106.55,0.136533333,國票證券,運動休閒,648,19271,4.534352941,29.73919753,2020/7/31,425,2020/8/17,452831280,0.5,110.1,106.55
18,2020/8/25,1589,15893,永冠三KY,11.1,15,5,無擔保,6,12750,100,2020/8/21,99,100,1.0249,99,101.5,0.025252525,103.56,0.046060606,中信證券,電機機械,941,24755,1.941568627,26.30712009,2020/8/19,1275,2020/9/3,1320378820,0.5,120.02,103.56
19,2020/8/26,2937,29371,集雅社一,3.29,2.5,3,有擔保,6,2125,104,2020/8/24,33.95,39,1.1468,87.05128205,104.6,0.201590574,106.1,0.218821797,富邦證券,居家生活,177,2989,1.406588235,16.88700565,2020/8/20,212,2020/9/4,225465300,0.5,120,106.1
20,2020/9/24,4967,49672,十銓二,7.45,8,3,有擔保,6,6880,102,2020/9/22,37.1,42,1.1468,88.33333333,105,0.188679245,106.47,0.205320755,第一金證,半導體業,692,16215,2.356831395,23.43208092,2020/9/18,688,2020/10/7,732547700,0.5,240,106.47
21,2020/9/24,8044,80441,網家一,11.8,15,3,有擔保,6,13304,103,2020/9/22,105,112,1.05861,93.75,105.77,0.128213333,107.42,0.145813333,凱基證券,數位雲端,1138,31470,2.365453999,27.65377856,2020/9/18,1330,2020/10/7,1429120140,1.5,230,107.42
22,2020/9/28,5263,52633,智崴三,5.68,7,5,無擔保,7,5951,100,2020/9/24,104,105,1.0211,99.04761905,100.7,0.016682692,101.64,0.026173077,台新證券,文化創意業,335,11333,1.904385818,33.82985075,2020/9/22,595,2020/10/12,604869400,0.5,115,101.64
23,2020/10/13,6629,66291,泰金一KY,3.57,2,3,無擔保,6,1700,100,2020/10/8,63.9,59.8,1.02,106.8561873,106.1,-0.007076682,107.88,0.009581221,中信證券,居家生活,574,8668,5.098823529,15.1010453,2020/10/6,170,2020/10/22,183392590,0.5,113,107.88
