股票代號,代號,名稱,掛牌最高,掛牌最低,資金用途,掛牌日期,資金用途分類
1101,11011,台泥一永,108.1,94.4,轉投資海外子公司 TCC Dutch131.6億，償還銀行借款61.54億，共計193.15億,2024-12-10 00:00:00,償還銀行借款
1210,12101,大成一,127.0,72.5,,2007-09-11 00:00:00,
1216,12161,統一一,106.75,91.2,,2007-10-15 00:00:00,
1217,12171,愛之味一,123.0,100.0,,2011-05-01 00:00:00,
1217,12172,愛之味二,112.0,89.0,,2011-05-12 00:00:00,
1217,12173,愛之味三,105.0,99.6,償還銀行借款6億，充實營運資金3億，購置設備1億,2013-03-07 00:00:00,償還+充實
1218,12181,泰山一,109.9,99.0,償還銀行借款5億,2013-05-23 00:00:00,償還銀行借款
1225,12251,福脂一,233.0,101.0,,2009-12-11 00:00:00,
1258,12581,其祥一KY,124.25,99.1,,2015-09-15 00:00:00,
1258,12582,其祥二KY,101.3,76.2,,2018-09-10 00:00:00,
1312,13121,國喬一    ,171.0,90.0,,,
1316,13161,上曜一,122.0,99.65,償還銀行借款0.8億，購置機器設備1億，充實營運資金1.2億,2011-08-02 00:00:00,償還+充實
1316,13162,上曜二,177.0,104.0,現金增資3億，上曜二募得2億，充實營運資金5億,2014-12-23 00:00:00,充實營運資金
1316,13163,上曜三,117.95,99.6,充實營運資金13億,2018-11-07 00:00:00,充實營運資金
1316,13164,上曜四,189.0,101.5,充實營運資金7.04億，償還銀行借款1億，與上曜五同時發行,2021-01-29 00:00:00,償還+充實
1316,13165,上曜五,232.0,99.6,充實營運資金7.04億，償還銀行借款1億，與上曜四同時發行,2021-02-01 00:00:00,償還+充實
1316,13166,上曜六,125.5,102.8,充實營運資金共計11.8億，CB6發行4000張，現增65000張，認購價12元,2024-12-27 00:00:00,充實營運資金
1319,13191,東陽一,115.0,95.4,,2010-12-24 00:00:00,
1336,13361,台翰一,116.0,101.1,償還銀行借款及商業本票2.74億，充實營運資金0.77億,2014-09-10 00:00:00,償還+充實
1337,13371,再生一,120.5,82.95,現金增資13.69億，再生一KY募得6億，擴廠18.83億，購買機器設備11.63億,2012-10-11 00:00:00,資本支出
1338,13381,廣華一KY,117.0,97.1,償還銀行借款4.95億及充實營運資金1.05億，共計6億元。,2021-01-19 00:00:00,償還+充實
1338,13382,廣華二KY,115.5,93.05,償還第一次轉換公司債6.09億,2023-12-01 00:00:00,借新還舊
1341,13411,富林一KY,116.9,100.8,現金增資0.5億，1000張/50元，富林一募得1.72億，充實營運資金2.22億,2021-05-13 00:00:00,充實營運資金
1342,13421,八貫一,243.0,106.5,充實營運資金2.25億,2022-06-02 00:00:00,充實營運資金
1409,14093,新纖三,180.0,77.0,,2007-04-17 00:00:00,
1432,14321,大魯閣一,119.0,100.5,轉投資大魯閣開發股分有限公司5億，與大魯閣二同時發行,2015-02-12 00:00:00,轉投資
1432,14322,大魯閣二,119.1,92.3,轉投資大魯閣開發股分有限公司5億，與大魯閣一同時發行,2015-02-13 00:00:00,轉投資
1436,14361,華友聯一,695.0,106.0,償還銀行借款3.78億,2020-01-17 00:00:00,償還銀行借款
1436,14362,華友聯二,600.0,111.1,償還銀行借款10.14億,2020-12-01 00:00:00,償還銀行借款
1436,14363,華友聯三,124.25,93.6,償還銀行借款6億,2024-08-27 00:00:00,償還銀行借款
1436,14364,華友聯四,104.95,92.5,償還銀行借款20.2億，發行CB4共20000張，詢圈101元,2025-03-18 00:00:00,借新還舊
1437,14371,勤益一,266.0,92.0,,,
1438,14381,三地開發一,134.0,119.0,償還銀行借款7.64億，支付營建工程款-艾美新時代(台南市平實段)24.84億，支付營建工程款-艾美‧柏(高雄市後港東段)9.87億。,2024-12-19 00:00:00,償還銀行借款
1442,14422,名軒二,165.0,105.55,償還銀行借款8億,2012-08-01 00:00:00,償還銀行借款
1442,14423,名軒三,188.0,105.0,償還銀行借款6.26億,2015-12-01 00:00:00,償還銀行借款
1457,14571,宜進一,109.8,90.0,現金增資4.5億，宜進一募得3億，購置土地、廠房及生產設備21.67億,2011-06-30 00:00:00,資本支出
1464,14641,得力一,172.0,107.0,償還銀行借款4.5億，與得力二同時發行,2015-05-20 00:00:00,償還銀行借款
