序號,股票代號,CB代號,名稱,信用評等,擔保,發行規模,轉換價格,發行年期,詢圈競拍,發行券商,產業分類,產業地位,股本大小,發行價格,到期還本價格,訂價溢價率,掛牌日期,到期日期,掛牌最高,掛牌最低
1,1101,11011,台泥一永,4,無擔保,80.0,36.5,5.0,詢圈,元大證券,水泥工業,台灣最大水泥廠,775.0,100.0,100.0,1.0918,2024-12-10,2029-12-10 00:00:00,108.1,94.4
2,1210,12101,大成一,0,0,10.0,33.59,5.0,詢圈,,食品工業,兩岸最大白肉雞電宰加工廠及飼料大廠,,,,,2007-09-11,2012/09/11,127.0,72.5
3,1216,12161,統一一,0,,50.0,48.6,3.0,詢圈,,食品工業,台灣食品業龍頭廠之一,,,,,2007-10-15,2010/10/15,106.75,91.2
4,1217,12171,愛之味一,0,,11.0,13.9,3.0,詢圈,,食品工業,以飲料、傳統類罐頭為主的食品商,,,,,2011-05-01,2014/05/01,123.0,100.0
5,1217,12172,愛之味二,0,,3.0,13.9,5.0,詢圈,台新證券,食品工業,以飲料、傳統類罐頭為主的食品商,,100.0,100.0,,2011-05-12,2016-05-12 00:00:00,112.0,89.0
6,1217,12173,愛之味三,7,無擔保,10.0,10.9,5.0,詢圈,台新證券,食品工業,以飲料、傳統類罐頭為主的食品商,49.5,100.0,100.0,1.0139,2013-03-07,2018-03-07 00:00:00,105.0,99.6
7,1218,12181,泰山一,新光銀行,有擔保,5.0,15.1,3.0,詢圈,群益證券,食品工業,台灣油脂、飲料大廠及轉投資全家便利超商,50.0,100.0,100.0,1.0155,2013-05-23,2016-05-23 00:00:00,109.9,99.0
8,1225,12251,福脂一,0,,5.0,14.0,5.0,詢圈,,食品工業,台灣油脂、飼料大廠,,,,,2009-12-11,2014/12/11,233.0,101.0
9,1258,12581,其祥一K,,,,38.8,,詢圈,台中銀證,,,,,100.0,,2015-09-15,2018-09-15 00:00:00,124.25,99.1
10,1258,12582,其祥二K,,,,30.0,,詢圈,國票證券,,,,,100.0,,2018-09-10,2023-09-10 00:00:00,101.3,76.2
11,1312,13121,國喬一    ,,,,,3.0,詢圈,,塑膠工業,台灣第二大SM及ABS廠,,,,,,,171.0,90.0
12,1316,13161,上曜一,板信商銀,有擔保,3.0,24.9,3.0,詢圈,元大證券,建材營造業,上曜集團旗下豪宅品牌,27.9,,,1.01,2011-08-02,2014/07/23,122.0,99.65
13,1316,13162,上曜二,板信商銀,有擔保,2.0,12.0,3.0,詢圈,元富證券,建材營造業,上曜集團旗下豪宅品牌,27.9,100.0,100.0,1.0161,2014-12-23,2017-12-23 00:00:00,177.0,104.0
14,1316,13163,上曜三,元大銀行,有擔保,5.0,20.1,3.0,詢圈,元富證券,建材營造業,上曜集團旗下豪宅品牌,27.9,100.0,100.0,1.1519,2018-11-07,2021-11-07 00:00:00,117.95,99.6
15,1316,13164,上曜四,日盛銀行,有擔保,4.0,14.9,5.0,詢圈,富邦證券,建材營造業,上曜集團旗下豪宅品牌,27.9,101.0,100.0,1.2,2021-01-29,2026-01-29 00:00:00,189.0,101.5
16,1316,13165,上曜五,8,無擔保,4.0,12.6,3.0,詢圈,富邦證券,建材營造業,上曜集團旗下豪宅品牌,27.9,100.0,100.0,1.02,2021-02-01,2024-02-01 00:00:00,232.0,99.6
17,1316,13166,上曜六,板信銀行,有擔保,4.0,17.8,3.0,競拍,元富證券,,,,100.0,100.0,1.1995,2024-12-27,2027-12-27 00:00:00,125.5,102.8
18,1319,13191,東陽一,0,,10.0,50.9,5.0,詢圈,,汽車工業,全球第一大汽車AM塑膠件製造商,,,,,2010-12-24,2015/12/24,115.0,95.4
19,1336,13361,台翰一,台灣中小企,有擔保,3.5,16.58,3.0,詢圈,國泰證券,電子零組件業,宣德轉投資之消費電子產品外殼製造商,7.88,100.5,103.03,1.0303,2014-09-10,2017-09-10 00:00:00,116.0,101.1
20,1337,13371,再生一,4,無擔保,6.0,101.6,3.0,詢圈,元大證券,塑膠工業,大陸第一大EVA發泡材商,26.9,,,1.05,2012-10-11,2015/10/01,120.5,82.95
21,1338,13381,廣華一K,5,無擔保,6.0,68.8,5.0,詢圈,國票證券,汽車工業,汽車OEM塑膠內飾件大廠，供應以大陸市場為主,8.38,100.0,100.0,1.0208,2021-01-19,2026-01-19 00:00:00,117.0,97.1
22,1338,13382,廣華二K,5,無擔保,6.0,39.4,5.0,詢圈,國票證券,汽車工業,汽車OEM塑膠內飾件大廠，供應以大陸市場為主,8.38,100.0,100.0,1.051,2023-12-01,2028-12-01 00:00:00,115.5,93.05
23,1341,13411,富林一K,6,無擔保,1.5,75.8,3.0,競拍,中信證券,塑膠工業,越南第一大PVC人造皮革生產商,5.17,115.0,101.51,1.0218,2021-05-13,2024-05-13 00:00:00,116.9,100.8
24,1342,13421,八貫一,華南銀行,有擔保,2.0,72.0,3.0,競拍,元大證券,其他業,台灣機能性皮布料及薄膜製造商,7.13,112.93,100.0,1.0381,2022-06-02,2025-06-02 00:00:00,243.0,106.5
25,1409,14093,新纖三,0,,22.0,9.93,5.0,詢圈,,紡織纖維,新光集團旗下，台灣知名化纖廠,,,,,2007-04-17,2012/04/17,180.0,77.0
26,1432,14321,大魯閣一,有擔保,有擔保,2.5,20.1,3.0,詢圈,元大證券,運動休閒,經營型娛樂購物中心事業,9.0,100.0,103.8,1.0177,2015-02-12,2018-02-12 00:00:00,119.0,100.5
27,1432,14322,大魯閣二,8,無擔保,2.5,20.1,5.0,詢圈,元大證券,運動休閒,經營型娛樂購物中心事業,9.0,100.0,100.0,1.01,2015-02-13,2020-02-13 00:00:00,119.1,92.3
28,1436,14361,華友聯一,第一銀行,有擔保,3.0,40.0,5.0,競拍,第一金證,建材營造業,以市地重劃為基礎且針對首購族市場的建商,9.8,107.73,100.0,1.0521,2020-01-17,2025-01-17 00:00:00,695.0,106.0
29,1436,14362,華友聯二,第一銀行,有擔保,10.0,42.0,5.0,詢圈,第一金證,建材營造業,以市地重劃為基礎且針對首購族市場的建商,9.8,101.0,100.0,1.0805,2020-12-01,2025-12-01 00:00:00,600.0,111.1
30,1436,14363,華友聯三,8,無擔保,6.0,182.5,3.0,詢圈,國泰證券,建材營造業,以市地重劃為基礎且針對首購族市場的建商,11.4,100.0,104.5678,1.051,2024-08-27,2027-08-27 00:00:00,124.25,93.6
31,1436,14364,華友聯四,8,無擔保,20.0,140.3,3.0,詢圈,國泰證券,建材營造業,以市地重劃為基礎且針對首購族市場的建商,11.4,101.0,104.5678,1.02,2025-03-18,2028-03-18 00:00:00,104.95,92.5
