序號,開標日期,股票代號,CB代號,名稱,股本,發行規模,年期,擔保,信用評等,競拍張數,底標價,截標日,截標收盤,轉換價,訂價溢價率,理論價,最低得標,最低溢價,平均得標,平均溢價,發行券商,產業分類,合格件數,投標張數,投標倍數,投標均張,投標開始日,最高投(得)標數量(張),撥券日,得標總金額,得標手續費率(%),最高得標價格(元),承銷價格(元)
1,2019-03-22,4943,49431,康控一KY,15.7,15.0,3,無擔保,9,13500,100.0,2019-03-20,124.5,121.1,1.02,102.81,100.5,-0.0224,102.07,-0.0072,中信證券,電子零組件業,829,19751,1.46,23.83,2019-03-18,1350.0,2019-04-02,1377907550.0,1.0,159.0,102.07
2,2019-09-02,4736,47363,泰博三,9.2,15.0,5,有擔保,4,12752,100.0,2019-08-07,126.0,140.0,1.057,90.0,107.17,0.1908,108.46,0.2051,凱基證券,生技醫療業,1559,54356,4.26,34.87,2019-08-05,1275.0,2019-08-21,1394223850.0,0.5,140.1,109.33
3,2019-11-04,8028,80281,昇陽一,13.2,10.0,3,無擔保,6,8732,102.0,2019-10-31,76.8,76.1,1.02,100.92,108.45,0.0746,109.92,0.0892,富邦證券,半導體業,1063,31398,3.6,29.54,,,,,,,
4,2019-12-02,2729,27291,瓦城一,2.3,8.0,3,無擔保,5,6880,102.0,2019-11-28,286.0,300.0,1.072,95.33,102.81,0.0784,107.3,0.1255,富邦證券,觀光餐旅,674,11341,1.65,16.83,,,,,,,
5,2019-12-11,6477,64771,安集一,11.4,3.0,5,無擔保,6,2550,100.0,2019-12-09,22.65,23.0,1.02,98.48,100.51,0.0206,101.59,0.0316,福邦證券,光電業,187,4116,1.61,22.01,2019-12-05,255.0,2019-12-20,259066700.0,0.5,109.22,101.59
6,2020-01-06,3617,36171,碩天一,8.1,10.0,3,無擔保,5,10200,101.5,2020-01-02,113.0,122.0,1.096,92.62,104.1,0.1239,105.23,0.1361,宏遠證券,其他電子業,882,24587,2.41,27.88,2019-12-30,1020.0,2020-01-15,1073334860.0,0.5,141.0,105.23
7,2020-01-08,1436,14361,華友聯一,9.6,3.0,5,有擔保,8,2550,100.0,2020-01-06,40.95,40.0,1.052,102.38,106.66,0.0419,107.73,0.0523,第一金證,建材營造業,372,7637,2.99,20.53,2020-01-02,255.0,2020-01-17,274721790.0,0.5,120.0,107.73
8,2020-01-09,3594,35943,磐儀三,7.2,3.0,3,無擔保,7,2550,100.0,2020-01-07,25.45,22.8,1.02,111.62,101.65,-0.0893,104.86,-0.0606,福邦證券,電腦及週邊設備業,241,4769,1.87,19.79,2020-01-03,255.0,2020-01-20,267389720.0,0.5,115.3,104.86
9,2020-02-06,4967,49671,十銓一,7.5,5.0,3,有擔保,6,4250,102.0,2020-02-04,36.55,33.9,1.069,107.82,110.7,0.0267,112.21,0.0407,群益證券,半導體業,444,11307,2.66,25.47,2020-01-31,425.0,2020-02-17,476883600.0,0.5,119.6,112.21
10,2020-02-18,2466,24663,冠希電三,15.6,3.0,3,有擔保,8,2660,102.0,2020-02-14,34.9,38.0,1.08,91.84,103.11,0.1227,104.5,0.1378,中信證券,光電業,481,5011,1.88,10.42,2020-02-12,266.0,2020-02-27,277980900.0,0.5,110.0,104.5
11,2020-02-19,4175,41752,杏一二,3.2,3.0,5,無擔保,6,2550,102.0,2020-02-17,72.9,77.3,1.05,94.31,102.65,0.0885,103.62,0.0987,國泰證券,生技醫療業,190,4108,1.61,21.62,2020-02-13,255.0,2020-03-02,264225240.0,0.5,110.0,103.62
12,2020-02-26,2228,22282,劍麟二,7.6,3.0,3,無擔保,5,2550,100.0,2020-02-24,95.2,106.23,1.05,89.62,104.5,0.1661,105.98,0.1826,元大證券,汽車工業,416,11327,4.44,27.23,2020-02-20,255.0,2020-03-09,270260630.0,0.5,110.0,105.98
13,2020-04-20,6150,61504,撼訊四,4.5,4.0,3,無擔保,8,3550,100.0,2020-04-16,42.8,34.5,1.02,124.06,102.22,-0.176,106.83,-0.1389,宏遠證券,電腦及週邊設備業,221,4439,1.25,20.09,2020-04-14,355.0,2020-04-29,379239070.0,0.5,117.33,106.83
14,2020-05-11,4919,49191,新唐一,39.1,20.0,7,無擔保,4,5361,100.0,2020-05-07,39.15,39.9,1.083,98.12,100.0,0.0192,100.91,0.0284,中信證券,半導體業,473,5361,1.0,11.33,2020-05-05,1800.0,2020-05-20,540953740.0,0.5,110.0,100.0
15,2020-05-28,6189,61893,豐藝三,18.3,10.0,3,無擔保,4,3740,101.0,2020-05-26,34.4,34.5,1.021,99.71,101.0,0.0129,103.94,0.0424,群益證券,電子通路業,192,3740,1.0,19.48,2020-05-22,850.0,2020-06-08,388726950.0,0.5,498.0,101.0
16,2020-07-31,9958,99584,世紀鋼四,23.1,15.0,3,無擔保,5,10544,100.0,2020-07-29,92.8,90.88,1.02,102.11,100.0,-0.0207,101.13,-0.0096,群益證券,鋼鐵工業,426,10544,1.0,24.75,2020-07-27,1275.0,2020-08-11,1066290440.0,0.5,110.0,100.0
17,2020-08-06,9802,98025,鈺齊五KY,18.6,5.0,3,無擔保,4,4250,100.0,2020-08-04,105.0,112.0,1.023,93.75,105.5,0.1253,106.55,0.1365,國票證券,運動休閒,648,19271,4.53,29.74,2020-07-31,425.0,2020-08-17,452831280.0,0.5,110.1,106.55
18,2020-08-25,1589,15893,永冠三KY,11.1,15.0,5,無擔保,6,12750,100.0,2020-08-21,99.0,100.0,1.025,99.0,101.5,0.0253,103.56,0.0461,中信證券,電機機械,941,24755,1.94,26.31,2020-08-19,1275.0,2020-09-03,1320378820.0,0.5,120.02,103.56
19,2020-08-26,2937,29371,集雅社一,3.3,2.5,3,有擔保,6,2125,104.0,2020-08-24,33.95,39.0,1.147,87.05,104.6,0.2016,106.1,0.2188,富邦證券,居家生活,177,2989,1.41,16.89,2020-08-20,212.0,2020-09-04,225465300.0,0.5,120.0,106.1
20,2020-09-24,4967,49672,十銓二,7.5,8.0,3,有擔保,6,6880,102.0,2020-09-22,37.1,42.0,1.147,88.33,105.0,0.1887,106.47,0.2053,第一金證,半導體業,692,16215,2.36,23.43,2020-09-18,688.0,2020-10-07,732547700.0,0.5,240.0,106.47
21,2020-09-24,8044,80441,網家一,11.8,15.0,3,有擔保,6,13304,103.0,2020-09-22,105.0,112.0,1.059,93.75,105.77,0.1282,107.42,0.1458,凱基證券,數位雲端,1138,31470,2.37,27.65,2020-09-18,1330.0,2020-10-07,1429120140.0,1.5,230.0,107.42
22,2020-09-28,5263,52633,智崴三,5.7,7.0,5,無擔保,7,5951,100.0,2020-09-24,104.0,105.0,1.021,99.05,100.7,0.0167,101.64,0.0262,台新證券,文化創意業,335,11333,1.9,33.83,2020-09-22,595.0,2020-10-12,604869400.0,0.5,115.0,101.64
23,2020-10-13,6629,66291,泰金一KY,3.6,2.0,3,無擔保,6,1700,100.0,2020-10-08,63.9,59.8,1.02,106.86,106.1,-0.0071,107.88,0.0096,中信證券,居家生活,574,8668,5.1,15.1,2020-10-06,170.0,2020-10-22,183392590.0,0.5,113.0,107.88
24,2020-10-21,6477,64772,安集二,11.4,3.0,5,無擔保,6,2550,100.0,2020-10-19,59.5,42.1,1.02,141.33,115.2,-0.1849,120.18,-0.1497,國泰證券,光電業,599,8781,3.44,14.66,2020-10-15,255.0,2020-10-30,306465660.0,0.5,150.1,120.18
25,2020-10-21,5306,53063,桂盟三,12.6,10.0,3,有擔保,4,8500,103.0,2020-10-19,198.5,205.2,1.05,96.73,106.1,0.0968,107.5,0.1113,凱基證券,運動休閒,718,19924,2.34,27.75,2020-10-15,850.0,2020-10-30,913722320.0,1.0,120.0,107.5
26,2020-11-23,2636,26364,台驊四,12.7,3.0,3,無擔保,4,2550,102.0,2020-11-19,37.85,40.0,1.036,94.63,104.2,0.1012,105.09,0.1106,凱基證券,航運業,480,10480,4.11,21.83,2020-11-17,255.0,2020-12-02,267979230.0,0.5,108.69,105.09
27,2020-12-01,1626,16264,艾美特四KY,14.1,4.0,3,無擔保,7,3460,100.0,2020-11-27,26.25,27.0,1.07,97.22,100.0,0.0286,100.0,0.0286,凱基證券,電器電纜,96,1280,0.37,13.33,2020-11-25,346.0,2020-12-10,129816450.0,0.5,106.02,100.0
28,2020-12-03,3489,34891,森寶一,8.3,1.0,3,有擔保,8,900,103.0,2020-12-01,13.0,13.85,1.14,93.86,105.99,0.1292,107.48,0.1451,合庫證券,建材營造業,223,2487,2.76,11.15,2020-11-27,90.0,2020-12-14,96729890.0,0.5,112.63,107.48
29,2020-12-04,3023,30237,信邦七,23.3,13.0,3,無擔保,4,11400,101.0,2020-12-02,206.0,203.0,1.051,101.48,105.28,0.0375,108.3,0.0672,富邦證券,電子零組件業,1005,32101,2.82,31.94,2020-11-30,1140.0,2020-12-15,1234582540.0,0.5,158.28,108.3
