轉換價格,股本大小,規模大小,信評,產業分類,發行年期,發行券商,承銷方式,擔保,資金用途
1_轉換價格_小於20元,1_股本大小_小於3億,1_發行規模_小於2億,2,資訊服務,3.0,統一證券,詢圈,有擔保,償還銀行借款
2_轉換價格_介於20~50元,2_股本大小_3~6億,2_發行規模_2~5億,3,化工,5.0,第一金證,競拍,無擔保,充實營運資金
3_轉換價格_介於50~100元,3_股本大小_6~10億,3_發行規模_5~10億,4,航運,7.0,國票證券,,,併購/轉投資
4_轉換價格_介於100~150元,4_股本大小_10~15億,4_發行規模_10~15億,5,其他電子,,富邦證券,,,購買機器設備
5_轉換價格_介於150~200元,5_股本大小_15~20億,5_發行規模_15~20億,6,油電燃氣,,永豐金證,,,擴廠/建廠
6_轉換價格_大於200元,6_股本大小_大於20億,6_發行規模_大於20億,7,農業科技,,凱基證券,,,購買不動產
,,,8,文化創意,,中信證券,,,研發
,,,9,建材營造,,台新證券,,,借新還舊
,,,BBB,生技醫療,,兆豐證券,,,
,,,,電子零組件,,福邦證券,,,
,,,,電腦及週邊設備,,群益證券,,,
,,,,電機機械,,台中銀證,,,
,,,,半導體,,元大證券,,,
,,,,光電,,元富證券,,,
,,,,運動休閒,,國泰證券,,,
,,,,其他,,華南永昌,,,
,,,,綠能環保,,合庫證券,,,
,,,,電器電纜,,宏遠證券,,,
,,,,通信網路,,康和證券,,,
,,,,電子通路,,永豐證券,,,
,,,,貿易百貨,,玉山證券,,,
,,,,鋼鐵,,,,,
,,,,觀光餐旅,,,,,
,,,,金融保險,,,,,
,,,,汽車,,,,,
,,,,居家生活,,,,,
,,,,數位雲端,,,,,
,,,,造紙,,,,,
,,,,塑膠,,,,,
,,,,紡織纖維,,,,,
,,,,食品,,,,,
,,,,水泥,,,,,
