股票代號,詢圈/競拍,標的代號,發行標的,TCRI/擔保,發行量,發行券商,送件日,生效日,詢圈/投標期間,溢價率,轉換價,掛牌日,可拆解選擇權日,承銷價格,年期,賣回條件,股本,股價,60天波動率,備註
3135,詢圈,31351,凌航一,TCRI6,10.0,統一證券,2025-10-31,2025-11-18,11/21-11/24,1.0501,52.19,2025-12-04 00:00:00,無報價2025/12/11,100,3Y,YTP(2)=(1%),8.0,67.3,80.93,
2732,詢圈,27324,六角四,TCRI5,6.0,華南永昌證,2025-10-31,2025-11-18,11/24-11/26,1.051,74.3,2025-12-08 00:00:00,額度有限2025/12/15,100,5Y,YTP(2)=(0.5%),5.0,74.9,25.16,
6890,競拍,68902,來億二KY,TCRI5,5.0,富邦證券,2025-10-23,2025-11-11,11/25-11/27,1.02,245.2,2025-12-10 00:00:00,2025-12-17 00:00:00,119.83,3Y,YTM(3)=(0%),25.0,280.5,53.0,
6442,競拍,64423,光聖三,TCRI5,15.0,台新證券,2025-10-21,2025-11-07,11/26-11/28,1.02,1065.9,2025-12-11 00:00:00,2025-12-18 00:00:00,124.86,3Y,YTP(2)=(0%),8.0,1190.0,70.77,
5309,詢圈,53096,系統電六,TCRI6,7.0,富邦證券,2025-10-27,2025-11-12,11/28-12/2,1.051,63.5,2025-12-12 00:00:00,無報價2025/12/19,100.5,5Y,YTP(3)=(1%),20.0,61.8,56.65,
5309,競拍,53097,系統電七,TCRI6,5.0,富邦證券,2025-10-27,2025-11-12,11/28-12/2,1.028,55,2025-12-15 00:00:00,無報價2025/12/22,116.91,3Y,YTP(2)=(0.5%),20.0,60.6,56.65,
8042,詢圈,80426,金山電六,TCRI7,3.5,永豐金證券,2025-10-08,2025-10-28,12/3-12/4,1.0526,60,2025-12-16 00:00:00,無報價2025/12/23,100,3Y,YTP(2)=(0%),13.0,57.3,76.42,
4739,競拍,47394,康普四,第一銀行,6.0,福邦證券,2025-11-03,2025-11-19,12/2-12/4,1.086,71,2025-12-17 00:00:00,2025-12-24 00:00:00,110.46,5Y,YTP(3)=(0%),12.0,69.2,38.92,
6796,詢圈,67962,晉弘二,TCRI7,2.0,富邦證券,2025-10-17,2025-11-05,12/8-12/10,105.01-110%,-,未定,無報價,100.5,3Y,YTP(2)=(0-0.5%),4.0,94.2,31.96,
6904,競拍,69041,伯鑫一,TCRI6,2.0,國泰證券,2025-10-22,2025-11-10,12/10-12/12,1.04,130,2025-12-26 00:00:00,無報價2026/1/5,102,3Y,YTM(3)=(0%),2.0,119.0,12.76,
3543,競拍,35431,州巧一,中國信託,4.0,福邦證券,2025-10-27,2025-11-27,12/10-12/12,1.048,46.3,2025-12-26 00:00:00,2026-01-05 00:00:00,100,3Y,YTP(2)=(0-0.5%),46.9,44.8,67.83,
6670,競拍,66702,復盛應用二,TCRI3,20.0,台新證券,2025-06-18,2025-07-04,12/10-12/12,1.0568,270,2025-12-26 00:00:00,2026-02-02 00:00:00,102-104,3Y,YTM(3)=(0%),14.0,261.5,22.97,延長三個月
4113,競拍,41136,聯上六,TCRI7,3.0,合庫證券,2025-07-23,2025-09-10,未定,102-110%,-,未定,未定,100,5Y,YTP(3)=(0.75%),23.0,22.4,31.76,延長三個月
2236,詢圈,22363,百達三KY,TCRI7,4.5,台新證券,2025-08-07,2025-08-25,未定,105.01-110%,-,未定,未定,100,5Y,YTP(3)=(0.5%),6.0,104.5,43.12,
8299,詢圈,82993,群聯三,TCRI3,60.0,凱基證券,2025-08-08,2025-09-10,未定,110-120%,-,未定,未定,100-101,5Y,YTP(3)=(0.6%),21.0,1080.0,77.95,延長至115/3/9
3715,詢圈,37151,定穎一,TCRI5,5.0,凱基證券,2025-11-03,2025-11-19,未定,105.1-110%,-,未定,未定,100.5-101,3Y,YTM(3)=(0%),28.0,112.0,71.34,
3715,競拍,37152,定穎二,TCRI5,10.0,凱基證券,2025-11-03,2025-11-19,未定,102-103%,-,未定,未定,102,3Y,YTM(3)=(0%),28.0,112.0,71.34,
6510,競拍,65101,精測一,TCRI4,20.0,元大證券,2025-11-07,2025-11-25,未定,103-105%,-,未定,未定,100-103,3Y,YTM(3)=(0%),3.0,1900.0,69.77,
2745,競拍,27451,五福一,TCRI4,3.0,台新證券,2025-11-18,2025-12-04,未定,102-110%,-,未定,未定,100,3Y,YTP(2)=(0.5%),3.0,110.0,27.49,
8431,詢圈,84312,匯鑽科二,TCRI7,3.0,華南永昌證,2025-11-27,2025-12-15,未定,102-111%,-,未定,未定,100,3Y,YTP(2)=(0-0.5%),4.0,50.6,39.63,
2467,詢圈,24672,志聖二,TCRI5,7.0,富邦證券,2025-11-28,2025-12-16,未定,105.01-110%,-,未定,未定,100-105,3Y,YTP(2)=(0-0.5%),16.0,206.0,43.19,
2467,競拍,24673,志聖三,TCRI5,10.0,富邦證券,2025-11-28,2025-12-16,未定,102-115%,-,未定,未定,100,3Y,YTP(2)=(0-0.5%),16.0,206.0,43.19,
3260,詢圈,32608,威剛八,TCRI5,20.0,群益金鼎證,2025-12-01,2025-12-17,未定,101.5-110%,-,未定,未定,100,3Y,YTP(2)=(0-0.5%),33.0,177.0,59.31,
3717,競拍,37171,聯嘉投控一,安泰銀行,7.0,國泰證券,2025-12-02,2025-12-18,未定,102-105%,-,未定,未定,100,3Y,YTP(2)=(0.25%),21.0,17.25,27.77,
6199,競拍,61993,天品三,上海商銀,2.5,群益金鼎證,2025-12-02,2025-12-18,未定,102-110%,-,未定,未定,100,3Y,YTP(2)=(0-1%),6.0,95.9,51.65,
6199,詢圈,61994,天品四,TCRI7,3.5,群益金鼎證,2025-12-02,2025-12-18,未定,105.1-110%,-,未定,未定,100-100.8,3Y,YTP(2)=(0-1%),6.0,95.9,51.65,
3290,詢圈,32904,東浦四,TCRI6,7.0,台新證券,2025-12-04,2025-12-22,未定,101-110%,-,未定,未定,100-100.5,3Y,YTP(2)=(0.5%),9.0,42.25,37.83,
3290,競拍,32905,東浦五,TCRI6,3.0,台新證券,2025-12-04,2025-12-22,未定,101-110%,-,未定,未定,100,3Y,YTP(2)=(0.5%),9.0,42.25,37.83,
4967,競拍,49674,十銓四,台中銀行,20.0,永豐金證券,2025-12-04,2025-12-22,未定,102-110%,-,未定,未定,100,3Y,YTM(3)=(0%),8.0,132.5,69.04,
2301,競拍,23011,光寶一,TCRI3,40.0,元大證券,2025-12-05,2025-12-23,未定,105-112%,-,未定,未定,101,5Y,YTP(3)=(0-0.25%),232.0,160.0,52.68,
2301,詢圈,23012,光寶二,TCRI3,80.0,元大證券,2025-12-05,2025-12-23,未定,110-120%,-,未定,未定,100,5Y,YTP(3)=(0-0.25%),232.0,160.0,52.68,
3702,詢圈,370201,大聯大E1,TCRI4,30.0,凱基證券,2025-12-05,2025-12-16,未定,102-130%,-,未定,未定,100-101,3Y,YTM(3)=(0%),168.0,65.8,27.37,轉交換文曄
8021,競拍,80212,尖點二,TCRI4,7.0,福邦證券,2025-12-05,2025-12-23,未定,102-110%,-,未定,未定,100,5Y,YTP(3)=(0%),14.0,135.0,81.24,
