代碼,名稱  ,產業,CB收盤價,成交量,股價,轉換價格,轉換價值,溢(折)價%,"停止轉
換起始日","停止轉
換終迄日",發行日,最近賣回日,賣回價格,到期日,到期價格,YTP,YTM,2025Q2公告基本每股盈餘(元),股價波動率120天(%),股價波動率240天(%),自營商買張數,自營商賣張數,外資買張數,外資賣張數,TCRI,發行總量(張),流通在外餘額(張),剩餘未轉換比率%,債券擔保情形,經營項目
11011,台泥一永,水泥工業,96.7,561,22.85,35.2,64.91477272727273,48.96455142231946,-,-,2024-12-10 00:00:00,2027-12-10 00:00:00,100.0,2029-12-10 00:00:00,100.0,0.016832499510886296,0.008467742785897932,-1.36,26.11,25.57,-,-,-,-,4,80000.0,80000,100.0,無,有關水泥及水泥製品之生產及運銷、有關水泥原料及水泥製品原料之開採製造運銷及附屬礦石之開採經銷、經營有關水泥工業及其附屬事業
12561,鮮活果汁一KY,食品工業,97.55,2,140.5,189.1,74.29931253305129,31.293274021352314,-,-,2025-10-08 00:00:00,2027-10-08 00:00:00,100.5006,2028-10-08 00:00:00,100.0,0.016307495228368312,0.008789159921430771,4.98,42.16,43.22,-,-,-,-,5,2000.0,2000,100.0,無,果汁、果粒、果粉類等產品之生產與銷售
13164,上曜四,建材營建,105.55,1,15.15,14.7,103.06122448979593,2.414851485148506,-,-,2021-01-29 00:00:00,2026-01-29 00:00:00,100.0,2026-01-29 00:00:00,100.0,-0.3198720985315017,-0.3198720985315017,-0.13,35.72,46.99,1,1,0,0,8,4000.0,1340,33.5,有，台北富邦商業銀行股份有限公司,住宅及大樓開發租售業務、不動產買賣業務、不動產租賃業務
13166,上曜六,建材營建,111.0,0,15.15,17.4,87.0689655172414,27.485148514851467,-,-,2024-12-27 00:00:00,2026-12-27 00:00:00,100.5,2027-12-27 00:00:00,100.0,-0.08807915057915061,-0.0477822604638985,-0.13,35.72,46.99,-,-,-,-,8,4000.0,4000,100.0,有，板信商業銀行股份有限公司,住宅及大樓開發租售業務、不動產買賣業務、不動產租賃業務
13382,廣華二KY,汽車工業,100.35,0,20.45,37.6,54.388297872340424,84.50660146699266,-,-,2023-12-01 00:00:00,2026-12-01 00:00:00,106.1208,2028-12-01 00:00:00,100.0,0.05734960425396366,-0.0011604779806683768,0.14,20.86,23.55,-,-,-,-,6,6000.0,6000,100.0,無,汽車內飾件之曲面印刷、表面塗裝及射出成型等製造及銷售、汽車內飾件之模具製造及銷售、其他
140201,遠東新E1永,紡織纖維,103.95,0,38.8,43.1,90.02320185614849,15.470231958762891,-,-,2024-08-08 00:00:00,2027-08-08 00:00:00,100.0,2029-08-08 00:00:00,100.0,-0.022515663749430002,-0.010296695523124634,0.42,17.22,23.59,-,-,-,-,3,10000.0,10000,100.0,無,電信47.55%、生產事業45.99%、不動產開發3.82%、投資及其他2.64%(石化纖維原料、半成品及製成品、纖維紗(布)、混紡紗(布)、假撚絲、棉布、被單、紡織成衣、針織成衣、)
140202,遠東新E2永,紡織纖維,99.1,9,24.1,31.7,76.02523659305994,30.351452282157652,-,-,2024-08-08 00:00:00,2027-08-08 00:00:00,100.0,2029-08-08 00:00:00,100.0,0.005381223216742871,0.002460900891992286,0.42,17.22,23.59,2,9,0,0,3,15000.0,14992,99.94,無,電信47.55%、生產事業45.99%、不動產開發3.82%、投資及其他2.64%(石化纖維原料、半成品及製成品、纖維紗(布)、混紡紗(布)、假撚絲、棉布、被單、紡織成衣、針織成衣、)
14363,華友聯三,建材營建,98.65,1,65.8,128.7,51.126651126651126,92.95220364741643,-,-,2024-08-27 00:00:00,2026-08-27 00:00:00,103.0225,2027-08-27 00:00:00,104.5678,0.059918623641380744,0.034481196946174915,3.25,30.1,34.58,-,-,-,-,8,6000.0,6000,100.0,無,住宅及大樓開發租售業、休閒活動場館業、餐館業
14364,華友聯四,建材營建,95.05,10,65.8,99.0,66.46464646464646,43.008358662613986,-,-,2025-03-18 00:00:00,2027-03-18 00:00:00,103.0225,2028-03-18 00:00:00,104.5678,0.06472530870032789,0.043562756945563476,3.25,30.1,34.58,-,-,-,-,8,20000.0,20000,100.0,無,住宅及大樓開發租售業、休閒活動場館業、餐館業
14381,三地開發一,建材營建,119.7,0,33.65,55.88,60.218324982104505,98.7767013372957,-,-,2024-12-19 00:00:00,2027-12-19 00:00:00,101.5075,2029-12-19 00:00:00,102.5251,-0.07406436094687102,-0.03538597902413694,-0.27,28.45,38.83,-,-,-,-,8,9700.0,9700,100.0,有，台中商業銀行股份有限公司,委託營造廠商興建商業大樓、工業大樓及住宅出租出售業務、紡織工業之產銷及其附屬事業暨投資金融與其他經濟事業
