證券代號,證券名稱,本週股額,上週股額,增減數額,增減比率,發行比率(剩餘比率),2025-11-28 00:00:00
11011,台泥一永,80000,80000,0,0.0,100.0,
12561,鮮活果汁一KY,2000,2000,0,0.0,100.0,
13164,上曜四,1340,1340,0,0.0,33.5,
13166,上曜六,4000,4000,0,0.0,100.0,
13382,廣華二KY,6000,6000,0,0.0,100.0,
140201,遠東新E1永,10000,10000,0,0.0,100.0,
140202,遠東新E2永,14992,14992,0,0.0,99.94,
14363,華友聯三,6000,6000,0,0.0,100.0,
14364,華友聯四,20000,20000,0,0.0,100.0,
14381,三地開發一,9700,9700,0,0.0,100.0,
14664,聚隆四,4000,4000,0,0.0,100.0,
14722,三洋實業二,3000,3000,0,0.0,100.0,
14723,三洋實業三,4000,4000,0,0.0,100.0,
14743,弘裕三,3000,3000,0,0.0,100.0,
15142,亞力二,12000,12000,0,0.0,100.0,
15261,日馳一,5000,5000,0,0.0,100.0,
15364,和大四,15000,15000,0,0.0,100.0,
15601,中砂一,9994,9994,0,0.0,99.94,
15864,和勤四,2000,2000,0,0.0,100.0,
15865,和勤五,2902,2902,0,0.0,96.73,
15894,永冠四KY,10316,10316,0,0.0,68.77,
15952,川寶二,910,910,0,0.0,30.33,
15984,岱宇四,2000,2000,0,0.0,100.0,
16095,大亞五,20000,20000,0,0.0,100.0,
17813,合世三,2000,2000,0,0.0,100.0,
17863,科妍三,4000,4000,0,0.0,100.0,
18156,富喬六,85,85,0,0.0,2.12,
19094,榮成四,160,160,0,0.0,2.28,
20343,允強三,1524,1572,-48,-3.05,15.24,
20344,允強四,20000,20000,0,0.0,100.0,
20632,世鎧二,145,145,0,0.0,2.41,
20662,世德二,2378,2378,0,0.0,59.45,
21043,國際中橡三,35000,35000,0,0.0,100.0,
22013,裕隆三,69999,69999,0,0.0,99.99,
22283,劍麟三,2787,2787,0,0.0,92.9,
22362,百達二KY,5,5,0,0.0,0.25,
22471,汎德永業一,10000,10000,0,0.0,100.0,
22472,汎德永業二,10000,10000,0,0.0,100.0,
23372,旺宏二,15099,15155,-56,-0.36,50.33,
23383,光罩三,979,979,0,0.0,4.89,
23511,順德一,12000,12000,0,0.0,100.0,
23682,金像電二,3221,3489,-268,-7.68,8.05,
23683,金像電三,90000,0,90000,0.0,100.0,
24023,毅嘉三,10000,10000,0,0.0,100.0,
24271,三商電一,4684,4684,0,0.0,93.68,
24361,偉詮電一,10999,10999,0,0.0,99.99,
24394,美律四,25000,25000,0,0.0,100.0,
24395,美律五,5000,5000,0,0.0,100.0,
24423,新美齊三,9001,9001,0,0.0,90.01,
24424,新美齊四,5928,5928,0,0.0,98.8,
24616,光群雷六,2561,2561,0,0.0,42.68,
24624,良得電四,2443,2443,0,0.0,61.07,
24642,盟立二,9803,9803,0,0.0,98.03,
24762,鉅祥二,3895,3895,0,0.0,38.95,
24866,一詮六,6000,6000,0,0.0,100.0,
25283,皇普三,6000,6000,0,0.0,100.0,
25284,皇普四,5000,5000,0,0.0,100.0,
25303,華建三,5000,5000,0,0.0,100.0,
25304,華建四,7607,7607,0,0.0,95.08,
25483,華固三,40000,40000,0,0.0,100.0,
25484,華固四,20000,20000,0,0.0,100.0,
26107,華航七,10349,10349,0,0.0,22.99,
