可轉債名稱,可轉債代碼,擔保銀行/信用評等(TCRI),權利金(佰元報價),選擇權到期日,賣回價格(A),賣回日期(B),剩餘年期,折現率(C),權利金參考價,現股參考價,轉換價格,CB轉換價值,CB參考價,溢(折)價%,股價波動率120天%,股價波動率240天%,流通餘額占發行總額%,原始發行量,產業
,,,,,,,,,,,,,,,,,,,
台泥一永,11011.0,twA+,6.38,2027-11-26 00:00:00,100.0,2027-12-10 00:00:00,2.0246575342465754,0.03,3.0799999999999983,22.85,35.2,64.91477272727273,96.7,48.96455142231946,26.11,25.57,100.0,8000000000.0,水泥工業
上曜四,13164.0,富邦銀,0.6599999999999999,2026-01-15 00:00:00,100.0,2026-01-29 00:00:00,0.16164383561643836,0.022,6.209999999999994,15.15,14.7,103.06122448979593,105.55,2.414851485148506,35.72,46.99,33.5,400000000.0,建材營建
上曜六,13166.0,板信銀,2.27,2026-12-13 00:00:00,100.5,2026-12-27 00:00:00,1.0712328767123287,0.023,13.269999999999996,15.15,17.4,87.0689655172414,111.0,27.485148514851467,35.72,46.99,100.0,400000000.0,建材營建
遠東新E1永,140201.0,3,4.52,2027-07-25 00:00:00,100.0,2027-08-08 00:00:00,1.6849315068493151,0.025,8.469999999999999,38.8,43.1,90.02320185614849,103.95,15.470231958762891,17.22,23.59,100.0,1000000000.0,紡織纖維
聚隆四,14664.0,台中商銀,6.18,2028-06-06 00:00:00,100.0,2028-06-20 00:00:00,2.5534246575342467,0.023,12.580000000000013,14.6,18.8,77.6595744680851,106.4,37.008219178082214,39.31,49.96,100.0,400000000.0,紡織纖維
三洋實業二,14722.0,台中商銀,2.5799999999999996,2027-05-15 00:00:00,101.0025,2027-05-29 00:00:00,1.4904109589041097,0.022,8.579999999999998,91.7,98.6,93.00202839756592,106.0,13.97600872410032,22.4,33.84,100.0,300000000.0,建材營建
亞力二,15142.0,6,6.4399999999999995,2027-12-30 00:00:00,100.7519,2028-01-13 00:00:00,2.117808219178082,0.0325,18.939999999999998,96.9,109.2,88.73626373626374,112.5,26.78018575851393,33.25,42.71,100.0,1200000000.0,電機機械
中砂一,15601.0,4,4.21,2027-06-10 00:00:00,100.0,2027-06-24 00:00:00,1.5616438356164384,0.025,33.21000000000001,321.0,284.6,112.78988053408293,129.0,14.371962616822431,38.39,47.19,99.94,1000000000.0,電機機械
和勤四,15864.0,合庫,1.94,2026-08-16 00:00:00,100.0,2026-08-30 00:00:00,0.7452054794520548,0.022,11.439999999999998,26.85,30.74,87.3454782042941,109.5,25.364245810055852,32.46,29.71,100.0,200000000.0,電機機械
大亞五,16095.0,5,6.88,2027-09-16 00:00:00,100.75,2027-09-30 00:00:00,1.83013698630137,0.04,11.72999999999999,38.7,51.3,75.43859649122808,104.85,38.98720930232555,38.11,40.49,100.0,2000000000.0,電器電纜
合世三,17813.0,華南銀,4.4799999999999995,2027-09-10 00:00:00,100.0,2027-09-24 00:00:00,1.8136986301369864,0.023,6.430000000000007,11.35,18.0,63.05555555555556,101.95,61.682819383259904,19.52,34.12,100.0,200000000.0,生技醫療
科妍三,17863.0,6,4.96,2027-07-18 00:00:00,102.01,2027-08-01 00:00:00,1.6657534246575343,0.04,28.960000000000008,81.1,116.5,69.6137339055794,124.0,78.12577065351418,40.6,43.32,100.0,400000000.0,生技醫療
允強四,20344.0,4,7.6499999999999995,2027-09-18 00:00:00,100.0,2027-10-02 00:00:00,1.8356164383561644,0.04,15.650000000000006,20.3,24.0,84.58333333333333,108.0,27.684729064039427,26.9,39.67,100.0,2000000000.0,鋼鐵工業
