註：,一、本報價表僅供交易前之參考使用，實際交易條件將依市場行情有所變動，並以雙方實際議價為主。實際權利金最少金額為0.01(10元)。,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,二、承作可轉換公司債資產交換選擇權交易前須先完成與債券部簽訂衍生性商品開戶文件。,,,,,,,,,,,,,
,三、若客戶承作後，三個月內執行履約，則本公司將收取名目本金之0.25%的罰金，實際收取罰金之金額及條件依實際成交時而定。,,,,,,,,,,,,,
,四、貴客戶不願再接受類似商品行銷，可撥打0800-037888免付費電話，專人為您服務處理。,,,,,,,,,,,,,
,五、本報價單僅供客戶參考使用，資訊內容將力求正確，惟進行投資決策時，請投資人依據個人專業判斷，本公司不作任何資訊及獲利保證。,,,,,,,,,,,,,
,六、為因應2017/6/19櫃買中心強化資產交換市場新措施，(1)轉換公司債應上市櫃滿五個交易日始得連結(2)客戶承作資產交換選擇權之總名目本金，不得,,,,,,,,,,,,,
,逾該轉換公司債發行面額之10%。故以上新掛牌標的如有報價，滿5個交易日才可承作。,,,,,,,,,,,,,
,七、CB資產交換選擇權最大風險:權利金到期歸零-虧損100%。,,,,,,,,,,,,,
,八、貴客戶如要至總公司開立衍生性商品帳戶(CBAS帳戶)，請先與債券部業務人員預約開戶時間，請勿冒然前往開戶，謝謝配合。,,,,,,,,,,,,,
,九、本報價表以可轉債100元為報價基準，實際權利金金額(一張CB)= ( 權利金佰元報價  + ( CB買進成交價 – 100 )   ) * 1000,,,,,,,,,,,,,
舉例：,,,,,,,,,,,,,,
option履約(損益試算),,,,,,,,,,,,,,
預計履約日期：,,,2025-12-15 00:00:00,,,,,,,,,,,
標的名稱,賣回價格(A),履約交割日,CB賣回日(B),剩餘天數,折現率(C),提前call回違約金(%),履約張數,履約價,損益平衡價位,CB賣出價格,履約取回金額,,期初權利金(市價),報酬率
四維航七,100,2025-11-06 00:00:00,2027-12-17 00:00:00,772,0.023,0,10,95.13534246575342,109.32534246575342,150,548646.5753424658,,14.189999999999998,2.866431115873614
,,,,,,,,,,,,,,
註：「藍色」框框為自行輸入數字,,,,,,,,,,,,,,
1.履約日期：委託賣出(且成交)CB之日期,,,,,,,,,,,,,,
2.賣回價格(A)：同報價單之該標的賣回價格(A),,,,,,,,,,,,,,
3.CB賣回日(B)：同報價單之該標的賣回日期(B),,,,,,,,,,,,,,
4.折現率(C)：同報價單之該標的折現率(C),,,,,,,,,,,,,,
5.提前call違約金(%)：承作三個月內履約，請填入0.25，反之則填入0,,,,,,,,,,,,,,
6.履約張數：本次委託賣出之張數。,,,,,,,,,,,,,,
7.履約價：(賣回價格-100*(C)*剩餘天數/365)+0.25%,,,,,,,,,,,,,,
8.CB賣出價格：預期委託且可能成交之CB市價,,,,,,,,,,,,,,
9.期初權利金(市價)：初始承作時，所繳交之單位權利金,,,,,,,,,,,,,,
10.剩餘天數：CB賣回日-履約交割日+1,,,,,,,,,,,,,,
11.以上報價儘供交易前參考，實際下單前請與交易人員聯絡，確認報價和額度。,,,,,,,,,,,,,,
