股票代號,公司名稱,產業分類,細分產業,產業地位說明,市場分類
1101,台泥,水泥,"水泥,水泥製品,預拌混凝土,電力,汽電共生",台灣最大水泥廠,上市
1102,亞泥,水泥,"水泥,預拌混凝土,高爐水泥,電力,汽電共生",台灣前二大水泥廠,上市
1103,嘉泥,水泥,"水泥,倉儲/貨櫃場,運輸事業,地產,物業投資發展,旅宿／餐飲,飯店",主要從事水泥通路貿易,上市
1104,環泥,水泥,"水泥,水泥製品,預拌混凝土",台灣最大石膏板供應商,上市
1108,幸福,水泥,"水泥,預拌混凝土,高爐水泥",台灣第三大水泥廠,上市
1109,信大,水泥,"水泥,預拌混凝土,高爐水泥",銷售市場以台北、宜蘭、基隆、桃園等為主,上市
1110,東泥,水泥,"水泥,高爐水泥",台灣中南部市場水泥供應商,上市
1201,味全,食品,"非酒精飲料,乳製品,食品加工,飲料相關",老牌綜合食品大廠,上市
1203,味王,食品,"速食麵,調味品,食品加工,罐頭業,調理食品,資產股",老牌食品廠,上市
1210,大成,食品,"農林漁牧,飼料,食品加工,大宗物資,肉品加工",兩岸最大白肉雞電宰加工廠及飼料大廠,上市
1213,大飲,食品,"非酒精飲料,飲料相關",產品以蘋果西打為主,上市
1215,卜蜂,食品,"農林漁牧,飼料,食品加工,肉品加工",台灣白肉雞供應商及飼料大廠,上市
1216,統一,食品,"農林漁牧,飼料,速食麵,非酒精飲料,乳製品,食品加工,穀類烘焙製品,飲料相關",台灣食品業龍頭廠之一,上市
1217,愛之味,食品,"非酒精飲料,乳製品,食品加工,罐頭業,飲料相關",以飲料、傳統類罐頭為主的食品商,上市
1218,泰山,食品,"非酒精飲料,大宗物資,油脂,飲料相關",台灣油脂、飲料大廠,上市
1219,福壽,食品,"農林漁牧,飼料,食品加工,大宗物資,油脂,寵物食品",台灣第二大麻油生產商及最大的寵物飼料廠,上市
1220,台榮,食品,"流通業,食品飲料相關通路,農林漁牧,飼料,製糖,食品加工,大宗物資,磨粉製品",台灣知名果糖大廠，並生產飼料及水產品,上市
1225,福懋油,食品,"農林漁牧,飼料,大宗物資,麵粉,油脂",台灣油脂、飼料大廠,上市
1227,佳格,食品,"乳製品,食品加工,大宗物資,油脂,保健食品,穀類烘焙製品",台灣最大穀物營養品與油品供應商,上市
1229,聯華,食品,"大宗物資,麵粉,系統整合,軟體業",聯華神通集團之創始公司，是台灣麵粉品牌龍頭企業,上市
1231,聯華食,食品,"食品加工,穀類烘焙製品,調理食品,餅乾製品",台灣休閒食品大廠，並供應7-11鮮食產品,上市
1232,大統益,食品,"食品加工,大宗物資,油脂,磨粉製品",台灣最大黃豆加工製造廠，是豆粉與油脂製造龍頭,上市
1233,天仁,食品,"食品加工,茶葉與咖啡相關,旅宿／餐飲,休閒食品零售",台灣知名茶葉廠商並轉投資喫茶趣,上市
1234,黑松,食品,"流通業,食品飲料相關通路,非酒精飲料,飲料相關,資產股",主要從事黑松品牌飲料製造及酒品代理,上市
1235,興泰,食品,"農林漁牧,飼料",生產畜產及水產類飼料之廠商,上市
1236,宏亞,食品,"食品加工,可可製品,餅乾製品",旗下七七巧克力與禮坊喜餅為知名品牌,上市
1256,鮮活果汁-KY,食品,"非酒精飲料,飲料相關",大陸新茶飲上游原料供應商,上市
1702,南僑,食品,"食品加工,大宗物資,油脂,麵製品相關,控股公司,資產股",台灣最大烘焙用油脂廠，轉投資餐飲事業眾多品牌,上市
1737,臺鹽,食品,"生物科技,食品生技,非酒精飲料,大宗物資,飲料相關,製鹽業,時尚產業,美妝保養品",台灣最大製鹽商，並跨足生技及水產品,上市
